molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL614925,IC50,50118.72,nM,CHEMBL1009101
CHEMBL941,CHEMBL614004,IC50,50118.72,nM,CHEMBL1018031
CHEMBL941,CHEMBL3879801,IC50,12589.25,nM,CHEMBL1018032
CHEMBL941,CHEMBL612263,IC50,25118.86,nM,CHEMBL1018033
CHEMBL941,CHEMBL394,IC50,10000.0,nM,CHEMBL1018034
CHEMBL941,CHEMBL390,IC50,25118.86,nM,CHEMBL1018035
CHEMBL941,CHEMBL612588,IC50,39810.72,nM,CHEMBL1018036
CHEMBL941,CHEMBL1075408,IC50,19952.62,nM,CHEMBL1018037
CHEMBL941,CHEMBL614069,IC50,31622.78,nM,CHEMBL1018038
CHEMBL941,CHEMBL3879801,IC50,19952.62,nM,CHEMBL1018039
CHEMBL941,CHEMBL614894,IC50,25118.86,nM,CHEMBL1018040
CHEMBL941,CHEMBL3879801,IC50,39810.72,nM,CHEMBL1018041
CHEMBL941,CHEMBL3879801,IC50,39810.72,nM,CHEMBL1018858
CHEMBL941,CHEMBL614489,IC50,0.1995,nM,CHEMBL1018859
CHEMBL941,CHEMBL382,IC50,39810.72,nM,CHEMBL1016199
CHEMBL941,CHEMBL614540,IC50,39810.72,nM,CHEMBL1018861
CHEMBL941,CHEMBL399,IC50,25118.86,nM,CHEMBL1022421
CHEMBL941,CHEMBL385,IC50,100.0,nM,CHEMBL1022427
CHEMBL941,CHEMBL1936,IC50,52.0,nM,CHEMBL955806
CHEMBL941,CHEMBL1936,IC50,46.0,nM,CHEMBL955807
CHEMBL941,CHEMBL279,IC50,25000.0,nM,CHEMBL955808
CHEMBL941,CHEMBL612545,IC50,14000.0,nM,CHEMBL955809
CHEMBL941,CHEMBL258,IC50,320.0,nM,CHEMBL955810
CHEMBL941,CHEMBL267,IC50,25000.0,nM,CHEMBL955811
CHEMBL941,CHEMBL1862,IC50,98.0,nM,CHEMBL955828
CHEMBL941,CHEMBL2007,IC50,18.0,nM,CHEMBL955829
CHEMBL941,CHEMBL1936,IC50,58.0,nM,CHEMBL990799
CHEMBL941,CHEMBL612545,IC50,13690.0,nM,CHEMBL990800
CHEMBL941,CHEMBL1936,IC50,52.0,nM,CHEMBL946386
CHEMBL941,CHEMBL260,IC50,13700.0,nM,CHEMBL946387
CHEMBL941,CHEMBL279,IC50,25000.0,nM,CHEMBL946389
CHEMBL941,CHEMBL258,IC50,320.0,nM,CHEMBL946391
CHEMBL941,CHEMBL1862,IC50,110.0,nM,CHEMBL946393
CHEMBL941,CHEMBL2096980,IC50,300.0,nM,CHEMBL951786
CHEMBL941,CHEMBL2599,IC50,5000.0,nM,CHEMBL1022010
CHEMBL941,CHEMBL1862,IC50,10000.0,nM,CHEMBL1015941
CHEMBL941,CHEMBL3879801,IC50,1700.0,nM,CHEMBL997124
CHEMBL941,CHEMBL1075463,IC50,2400.0,nM,CHEMBL997125
CHEMBL941,CHEMBL384,IC50,60.0,nM,CHEMBL997126
CHEMBL941,CHEMBL387,IC50,11500.0,nM,CHEMBL997127
CHEMBL941,CHEMBL3879801,IC50,18700.0,nM,CHEMBL1000601
CHEMBL941,CHEMBL258,IC50,160.0,nM,CHEMBL1031880
